timestamp,netAmount0,netAmount1,closeTick,openTick,lowestTick,highestTick,inAmount0,inAmount1,currentLiquidity
2022-08-17 00:00:00,1030094284,-548231926817301454,200940,200941,200940,200941,1070594284,21577305097960575,3221838906880222304
2022-08-17 00:01:00,-74634485747,39784573899290661920,200940,200940,200940,200951,1261907861,40456331858037940247,3221838906880222304
2022-08-17 00:02:00,25864862728,-13778290597659030910,200940,200951,200947,200951,25864862728,0,3221838906880222304
2022-08-17 00:03:00,-4497875802,2398063422575210863,200948,200948,200948,200948,500000,2398329741944806000,3222299416132523570
2022-08-17 00:04:00,11262555882,-5998389800886850919,200946,200948,200946,200948,11262555882,0,3222299416132523570
2022-08-17 00:05:00,107661698979,-57293596534212504936,200933,200946,200933,200946,108017513775,189527257030535809,3939326505607640591
2022-08-17 00:06:00,15023716188,-7988541078109883338,200931,200933,200931,200933,16121502309,584356260666582979,3939326505607640591
2022-08-17 00:07:00,75745158467,-40241088732595469897,200920,200928,200920,200928,101209551495,13542209277337676044,3233093293515297793
2022-08-17 00:08:00,346594544,-183280532769909415,200920,200920,200920,200920,1883700000,817256952417142652,3233093293515297793
2022-08-17 00:09:00,28024228862,-14879183632884896567,200916,200920,200916,200920,34032735843,3193622975244775420,3234445396571059363
2022-08-17 00:10:00,54873965257,-29114989537204532830,200908,200915,200908,200915,71535614229,8849829240936253387,3237820080362558243
2022-08-17 00:11:00,87296289938,-46271274942145287041,200896,200908,200895,200908,112891574035,13579007430853838667,3234885291115307473
2022-08-17 00:12:00,-7662992877,4064713967460581553,200897,200896,200896,200897,0,4064713967460581553,3234885291115307473
2022-08-17 00:13:00,-59516593055,31584737302254092661,200906,200897,200897,200906,0,31584737302254092661,3237815808081683953
2022-08-17 00:14:00,-4984277997,2646334169967550290,200906,200906,200906,200906,45247191,2670334169967550290,3237815808081683953
2022-08-17 00:15:00,13487089900,-7153129448437473467,200906,200906,200904,200906,13487089900,0,3237815808081683953
2022-08-17 00:16:00,56723844815,-30067391477122852734,200896,200905,200896,200905,60760577660,2142907536048348644,3234882467578591229
2022-08-17 00:17:00,25937817947,-13738298146266872952,200894,200896,200893,200896,32274080292,3359986851284314624,3234882467578591229
2022-08-17 00:18:00,69327138430,-36686347860397641771,200879,200889,200877,200890,93391049767,12747594547037466165,1939375791394137589
2022-08-17 00:19:00,96815279447,-51120331128063592095,200855,200879,200846,200879,155794285535,31164222051090056994,1834479608796993597
2022-08-17 00:20:00,-65804036983,34788675701222081416,200871,200856,200856,200871,0,34788675701222081416,1941987750102046600
2022-08-17 00:21:00,-184473212523,97820526037694509693,200909,200876,200875,200910,31293761622,114398367473195790826,2799393273758222570
2022-08-17 00:22:00,-37174010732,19763466364963037885,200915,200909,200909,200919,26903149304,34048342871475831216,2796021767415371161
2022-08-17 00:23:00,-82580535382,43929919289729612327,200933,200917,200917,200934,17110104295,53024589123044823347,2010619274486082942
2022-08-17 00:24:00,32424755274,-17237451949331080529,200933,200931,200925,200931,32424755274,0,2010619274486082942
2022-08-17 00:25:00,-8821944787,4716397136261831611,200927,200925,200925,200937,43418473616,27805821523900455232,2018705664370939830
2022-08-17 00:26:00,11781928336,-6261532631420406524,200927,200927,200924,200927,11795834408,7396822425613720,2018705664370939830
2022-08-17 00:27:00,7227981780,-3840434375494962474,200923,200925,200923,200925,7551905028,172299471653284161,3066789207758313006
2022-08-17 00:28:00,76593856814,-40672725666912412288,200912,200923,200912,200923,76595856814,1062826972315138,3068055274814275344
2022-08-17 00:29:00,-31541377992,16760136775905194456,200917,200912,200912,200917,3000000,16761728967016833687,3068062643117141980
2022-08-17 00:30:00,-4737594045,2518100444666013781,200917,200917,200917,200917,0,2518100444666013781,3068066721822286630
2022-08-17 00:31:00,61635281735,-32713047833577096930,200909,200917,200908,200917,62158961529,278177680412840409,3071441405613785510
2022-08-17 00:32:00,-1419791,753968773610472,200909,200908,200908,200908,0,753968773610472,3071441405613785510
2022-08-17 00:33:00,3535614083,-1875624730330361249,200908,200908,200908,200908,3550521093,7915833544683222,3071567704652565119
2022-08-17 00:34:00,223391156631,-118272957062367789443,200908,200898,200870,200899,281897232479,30986772633247492506,3071567704652565119
2022-08-17 00:35:00,-24274460306,12851475836754786720,200908,200871,200869,200877,9185276476,17706022867376641785,3071567704652565119
2022-08-17 00:36:00,7834223950,-4105775497760076123,200865,200877,200858,200877,77678542000,36935783971677874775,1847018563834424836
2022-08-17 00:37:00,102908250597,-54305762054055575392,200849,200875,200847,200875,175858557507,38523698085199564173,1863823841384338771
2022-08-17 00:38:00,31317901810,-16477091041396393669,200841,200849,200834,200849,95591771900,33895208921498252575,2630965671120691571
2022-08-17 00:39:00,182191663,-58970282321255200,200841,200850,200841,200852,70400829451,37062174419911652794,2630965671120691571
2022-08-17 00:40:00,-4082197726,2154613090517818601,200842,200841,200841,200842,2117976638,3270744982854373875,2630967177889547135
2022-08-17 00:41:00,-5753490658,3035419710603282448,200843,200842,200842,200843,0,3035419710603282448,2630967177889547135
2022-08-17 00:42:00,-32645124831,17228663948286979330,200849,200845,200845,200849,3768930,17230651268648965698,2616113873496257961
2022-08-17 00:43:00,-1438955036,759644351883122699,200849,200849,200849,200849,0,759644351883122699,2616113873496257961
2022-08-17 00:44:00,5401114866,-2845834827761790138,200848,200850,200848,200850,10212055680,2539902196011003500,2616115050911678215
2022-08-17 00:45:00,14513329467,-7652271680918729609,200846,200846,200846,200846,14993713484,253514920101947192,2614728482330302101
2022-08-17 00:46:00,-3942037393,2080427984526402365,200846,200846,200846,200846,945521,2080926505632646889,2614747978964757759
2022-08-17 00:47:00,-2218761935,1171024690692964924,200847,200846,200846,200847,0,1171024690692964924,2614747978964757759
2022-08-17 00:48:00,-11512332466,6076745559463140672,200849,200847,200847,200849,0,6076745559463140672,2614747978964757759
2022-08-17 00:49:00,-96102705838,50776980820804055918,200865,200850,200850,200866,4319241867,53058681092766846125,2687090196958559337
2022-08-17 00:50:00,41268753391,-21792303087920692426,200858,200865,200858,200865,41268753391,0,2676177993086072945
2022-08-17 00:51:00,-3289641786,1743356394362650049,200858,200857,200857,200859,9580092535,6800000000000000000,2676177993086072945
2022-08-17 00:52:00,-33398876,17652014876941249,200859,200859,200859,200859,5766760,20696295845517144,2676190647490258228
2022-08-17 00:53:00,29204675472,-15410542579928236193,200854,200857,200854,200858,34498614991,2796434812834311192,2676298854404504049
2022-08-17 00:54:00,-766280260,405255488370069013,200854,200854,200854,200854,1004000000,935014403934860214,2676298854404504049
2022-08-17 00:55:00,95667031108,-50436642870354936856,200838,200853,200838,200853,96327158603,348223974792604480,2707224342650801992
2022-08-17 00:56:00,14939864076,-7860004965849996754,200835,200838,200832,200838,32220559861,9108723824150003246,2707224342650801992
2022-08-17 00:57:00,-18174255791,9597039417444745505,200838,200836,200836,200843,27436767892,24054503477444745505,2707225934665096870
2022-08-17 00:58:00,-53070489029,27998907381774162148,200847,200838,200838,200847,0,27998907381774162148,2707415221153701058
2022-08-17 00:59:00,-46573656,24582384830564279,200847,200847,200847,200847,0,24582384830564279,2707415672072123601
2022-08-17 01:00:00,-34217714428,18093773823396024703,200852,200848,200839,200852,53424735695,46253843122207258486,3390746981204026554
2022-08-17 01:01:00,-62386393982,32959483957422512582,200858,200853,200853,200861,0,32959483957422512582,3390746981204026554
2022-08-17 01:02:00,-18449926927,9765167924936662873,200864,200863,200861,200868,22495782590,21649424882247538959,2681717318569525692
2022-08-17 01:03:00,11969583902,-6320243827862872373,200862,200863,200862,200863,14432278866,1301786377382401136,2701484270272183604
2022-08-17 01:04:00,-12288470673,6500231979824785533,200864,200863,200863,200865,7119815261,10261005547312541845,2704608919751770606
2022-08-17 01:05:00,1464800176,-773684988314927506,200864,200864,200864,200864,1464800176,0,2706633098497473451
2022-08-17 01:06:00,31802502514,-16792740310113076888,200859,200864,200859,200864,32011979149,110727536531581408,2694885767218769236
2022-08-17 01:07:00,-8965831,4737734703106531,200859,200859,200859,200859,0,4737734703106531,2694886175098800001
2022-08-17 01:08:00,-1188590510,628082772590973928,200859,200859,200859,200859,0,628082772590973928,2694886175098800001
2022-08-17 01:09:00,0,0,200859,200859,200859,200859,0,0,2694886175098800001
2022-08-17 01:10:00,-1284304903,678675192173941482,200859,200859,200859,200859,155965,678757528452902349,2694886175098800001
2022-08-17 01:11:00,-5019076,2652298424986099,200859,200859,200859,200859,0,2652298424986099,2695786172756274597
2022-08-17 01:12:00,157000000,-82882576499743960,200859,200859,200859,200859,157000000,0,2695786172756274597
2022-08-17 01:13:00,-29543691239,15622200568704842724,200859,200857,200857,200864,11640000000,21766541083844276200,2695786172756274597
2022-08-17 01:14:00,-6702405201,3543849983321624721,200859,200864,200864,200865,70000000,3580822480031284252,2695786172756274597
2022-08-17 01:15:00,-40520427338,21433482443944435951,200872,200865,200865,200872,474964690,21684499179662492809,2798345595775531117
2022-08-17 01:16:00,-25407165168,13446459383559670125,200876,200874,200874,200876,50000000,13472893736373412739,2798345595775531117
2022-08-17 01:17:00,7534437160,-3984107958084574089,200876,200875,200875,200875,7534437160,0,2798345595775531117
2022-08-17 01:18:00,-8452466108,4474623316468518472,200876,200876,200876,200876,1072207348,5041640644575140000,2799394103932979559
