timestamp,marketTokensSupply,poolValue,longAmount,shortAmount,pendingPnl,realizedPnl,realizedProfit,virtualSwapInventoryLong,virtualSwapInventoryShort,impactPoolAmount,longPrice,shortPrice,indexPrice,openInterestLong,openInterestShort,openInterestLongIsLong,openInterestLongNotLong,openInterestShortIsLong,openInterestShortNotLong,openInterestInTokensLong,openInterestInTokensShort,virtualInventoryForPositions,cumulativeBorrowingFactorLong,cumulativeBorrowingFactorShort,longTokenFundingFeeAmountPerSizeLong,longTokenFundingFeeAmountPerSizeShort,shortTokenFundingFeeAmountPerSizeLong,shortTokenFundingFeeAmountPerSizeShort,longTokenClaimableFundingAmountPerSizeLong,longTokenClaimableFundingAmountPerSizeShort,shortTokenClaimableFundingAmountPerSizeLong,shortTokenClaimableFundingAmountPerSizeShort,positionImpactPoolAmount
2025-07-02 00:00:00,40101170.568760544,63798528.55351404,14985.160012711036,36342520.154622,3397197.1462099813,0.0,0.7458345173530702,17298.946153589997,41835823.532023,2192.812886882816,2404.117332263663,0.9998921021203088,2404.117332263663,23941881.45491766,23519736.244532667,4737496.394852852,9588542.818461116,19204385.06006481,13931193.426071549,11129.11764867096,9540.450446226738,,0.237833407291251,0.092209255692526,0.0001507887959805,7.607151505212865e-06,0.4170895350172787,0.015715465412082776,4.117446384759965e-06,4.960035793200466e-05,0.0072502949815289024,0.4515059874635114,2192.812886882816
2025-07-02 00:01:00,40101170.568760544,63819554.92131345,14985.160012711036,36342520.900537,3400131.5796261355,0.0,0.550969303472314,17298.946153589997,41835824.277938,2192.8126411848725,2405.965496276977,0.9999008276745256,2405.965496276977,23941881.45491766,23522695.956752643,4737496.394852852,9588542.818461116,19204385.06006481,13934153.138291528,11129.11764867096,9541.681301931483,,0.2378335407418134,0.092209255692526,0.000150788848854,7.607151505212865e-06,0.4170896621428641,0.015715465412082776,4.117446384759965e-06,4.960036858212768e-05,0.0072502949815289024,0.4515060912643647,2192.8126411848725
2025-07-02 00:02:00,40101170.568760544,63820346.8299266,14985.164238800144,36342511.280533,3400273.8881530687,-3246.48617927646,4520.611935166363,17298.950379679107,41835814.657934,2192.8124425726865,2406.054783185154,0.9998950768603564,2406.054783185154,23941881.45491766,23525102.413693666,4737496.394852852,9590949.275402138,19204385.06006481,13934153.138291528,11129.11764867096,9542.681231656374,,0.2378337487676901,0.092209255692526,0.0001507889312049,7.607151505212865e-06,0.4170898603201006,0.015715465412082776,4.117446384759965e-06,4.960038516769096e-05,0.0072502949815289024,0.4515062530601031,2192.8124425726865
2025-07-02 00:03:00,40101170.568760544,63821079.17701262,14985.184235100143,36346984.238349,3403480.7749928683,0.0,0.0012628629124657167,17298.970375979105,41840288.01152,2193.03062416085,2406.090824175666,0.999891458800504,2406.090824175666,23941881.45491766,22564322.315368965,4737496.394852852,9590949.275402138,19204385.06006481,12973373.039966827,11129.11764867096,9142.060524100625,,0.2378340117437243,0.092209255692526,0.000150789035306,7.607151505212865e-06,0.4170901108341532,0.015715465412082776,4.117446384759965e-06,4.9600406344813225e-05,0.0072502949815289024,0.4515064596431715,2193.03062416085
2025-07-02 00:04:00,40101173.52019744,63822451.87319651,14985.184235100143,36346988.938178,3403480.7749928683,0.0,0.0,17298.970375979105,41840293.181286,2193.03062416085,2406.090824175666,0.9999290959447342,2406.090824175666,23941881.45491766,22564322.315368965,4737496.394852852,9590949.275402138,19204385.06006481,12973373.039966827,11129.11764867096,9142.060524100625,,0.2378343178945197,0.092209255692526,0.0001507891565046,7.607151505212865e-06,0.4170904024805837,0.015715465412082776,4.117446384759965e-06,4.9600431791081696e-05,0.0072502949815289024,0.451506707862031,2193.03062416085
2025-07-02 00:05:00,40101173.52019744,63818620.20344139,14985.184235100143,36346988.938178,3403007.117150739,0.0,0.0,17298.970375979105,41840293.181286,2193.03062416085,2405.852452648108,0.9998945389583938,2405.852452648108,23941881.45491766,22564322.315368965,4737496.394852852,9590949.275402138,19204385.06006481,12973373.039966827,11129.11764867096,9142.060524100625,,0.2378343178945197,0.092209255692526,0.0001507891565046,7.607151505212865e-06,0.4170904024805837,0.015715465412082776,4.117446384759965e-06,4.9600431791081696e-05,0.0072502949815289024,0.451506707862031,2193.03062416085
2025-07-02 00:06:00,40101173.52019744,63817186.63753006,14985.184235100143,36346988.938178,3402773.7552886084,0.0,95.58142486579384,17298.970375979105,41840293.181286,2193.03062416085,2405.735011705296,0.9998900102423264,2405.735011705296,23941881.45491766,22564322.315368965,4737496.394852852,9590949.275402138,19204385.06006481,12973373.039966827,11129.11764867096,9142.060524100625,,0.2378343178945197,0.092209255692526,0.0001507891565046,7.607151505212865e-06,0.4170904024805837,0.015715465412082776,4.117446384759965e-06,4.9600431791081696e-05,0.0072502949815289024,0.451506707862031,2193.03062416085
2025-07-02 00:07:00,40101173.52019744,63830544.318667136,14985.184235100143,36347084.530117,3405147.706525732,0.0,20.15989860417038,17298.970375979105,41840388.773225,2192.9568927682376,2406.941348946724,0.9998911622999844,2406.941348946724,23941881.45491766,22964322.315368965,4737496.394852852,9590949.275402138,19204385.06006481,13373373.039966827,11129.11764867096,9308.256144092837,,0.2378351028965592,0.092209255692526,0.0001507894673161,7.607151505212865e-06,0.4170911502930273,0.015715465412082776,4.117446384759965e-06,4.960049704757405e-05,0.0072502949815289024,0.4515073443215675,2192.9568927682376
2025-07-02 00:08:00,40101173.52019744,63802237.69188824,14985.184235100143,36347104.69221,3400648.2817674577,26.57958057684216,-27.731129336105493,17298.970375979105,41840408.935318,2192.941573677873,2404.391908372442,0.9998842835922352,2404.391908372442,23941881.45491766,23064322.315368965,4737496.394852852,9590949.275402138,19204385.06006481,13473373.039966827,11129.11764867096,9349.787329674786,,0.2378351225216102,0.092209255692526,0.0001507894750825,7.607151505212865e-06,0.4170911689882222,0.015715465412082776,4.117446384759965e-06,4.960049864976649e-05,0.0072502949815289024,0.4515073599558072,2192.941573677873
2025-07-02 00:09:00,40101173.52019744,63798826.06610544,14985.184232727315,36347076.955864,3400052.146660134,0.0,24.693476237718546,17298.970373606277,41840381.198972,2192.939802178613,2404.070901259118,0.9998876443926062,2404.070901259118,23929757.790844887,23064322.315368965,4737496.394852852,9590949.275402138,19192261.395992037,13473373.039966827,11124.064294593762,9349.787329674786,,0.2378355699727727,0.092209255692526,0.000150789652344,7.607151505212865e-06,0.4170915952437564,0.015715465412082776,4.117446384759965e-06,4.960053505993668e-05,0.0072502949815289024,0.4515077148752061,2192.939802178613
