timestamp,netAmount0,netAmount1,closeTick,openTick,lowestTick,highestTick,inAmount0,inAmount1,currentLiquidity
2022-08-15 00:02:00,-86607468725,44780503082397907248,200646,200636,200636,200646,46352929,44804432807459982152,4013759558826138284
2022-08-15 00:03:00,-11559361503,5982099283280903416,200647,200647,200646,200647,3725296294,7907364153682524834,4013759558826138284
2022-08-15 00:04:00,18848851031,-9741199560583020517,200645,200646,200645,200646,18848851031,0,4013759558826138284
2022-08-15 00:05:00,-33963033571,17571505125820287395,200649,200645,200645,200649,259219059,17705456600000000000,4013759558826138284
2022-08-15 00:06:00,-31149113035,16122084811741595220,200653,200650,200650,200653,226189966,16239039130444967000,3301614112438940742
2022-08-15 00:07:00,17254122112,-8920890880386523049,200649,200653,200649,200653,18056906858,415404064996374614,1786613552065073498
2022-08-15 00:08:00,-72981387523,37809958385453317959,200668,200653,200652,200672,19434890367,47876818120072225995,1785466366616790491
2022-08-15 00:09:00,-12268955650,6362538902931075290,200671,200667,200667,200671,2049712823,7424109450000000000,1768950387040838656
2022-08-15 00:10:00,-18691739386,9695212297958128928,200674,200671,200671,200674,1166264423,10299517367755507688,2966047585180392534
2022-08-15 00:11:00,-46776653866,24279939642017582764,200681,200673,200673,200682,12877603428,30958600685573132970,2915987457819826229
2022-08-15 00:12:00,-5320930186,2763486145356156286,200682,200681,200681,200682,2401834522,4009126824302350433,2915987457819826229
2022-08-15 00:13:00,218635229,-113390542673318607,200682,200682,200682,200682,218635229,0,2915987457819826229
2022-08-15 00:14:00,1065004885,-546969866225195887,200682,200683,200681,200683,11405146148,5368487029078432466,2915987457819826229
2022-08-15 00:15:00,18058396016,-9362787618277066339,200679,200681,200679,200682,20623391735,1331613693303882855,2969801137830367053
2022-08-15 00:16:00,2527296509,-1295228077029033002,200678,200679,200674,200679,31604069779,15086830251774817460,2969801137830367053
2022-08-15 00:17:00,-35003504920,18194816653865038113,200684,200682,200681,200691,46250046841,42195061394512187784,2919728999120563172
2022-08-15 00:18:00,156760653220,-81215689726313643590,200684,200683,200659,200683,163987343194,3743312747102231588,2919728999120563172
2022-08-15 00:19:00,29476586544,-15250362054775722517,200655,200659,200655,200659,29644104713,86756419314808094,2987226822405584350
2022-08-15 00:20:00,28067428390,-14503904479230473164,200653,200655,200651,200658,49557452770,11128700000000000000,2987525666079984827
2022-08-15 00:21:00,95035580398,-49087856537402265271,200636,200641,200634,200648,121458860296,13657906020473379326,2988679532494041771
2022-08-15 00:22:00,-24248908197,12534341001754158692,200640,200636,200636,200640,0,12534341001754158692,2987767875986119590
2022-08-15 00:23:00,-110255939610,57050879672564406747,200657,200640,200640,200657,1639888332,57899135935297767207,2987530395537102045
2022-08-15 00:24:00,-20732221133,10739270527472331403,200657,200657,200657,200660,2005220312,11776898979837724918,2987530395537102045
2022-08-15 00:25:00,427823576,-220569713732745597,200657,200660,200660,200660,2037702260,833976888920005581,2987530395537102045
2022-08-15 00:26:00,-47085668965,24400428159070396636,200667,200660,200660,200667,17832340,24409663189543943142,2986658994617116126
2022-08-15 00:27:00,19481334931,-10087278755921597416,200664,200666,200664,200666,19938741142,237048475348732490,2986659076511830573
2022-08-15 00:28:00,19180803183,-9928974972979496827,200661,200664,200661,200664,19180803183,0,2986659076511830573
2022-08-15 00:29:00,-141229535,73193566263667668,200661,200661,200661,200661,45000000,96484481250505395,2986659076511830573
2022-08-15 00:30:00,550566756,-284839068047184642,200661,200661,200661,200661,783257165,120555648749866031,2986837531095485839
2022-08-15 00:31:00,85200894793,-44068581705912923865,200648,200658,200648,200659,86171704614,502312096458704586,2987984716543768846
2022-08-15 00:32:00,55523236845,-28687404124436585641,200640,200647,200640,200647,56597944757,555936484586714761,2987984716543768846
2022-08-15 00:33:00,154313586916,-79608037813326252008,200618,200638,200618,200638,155757875682,745447857110297880,3528485491028943994
2022-08-15 00:34:00,156404705096,-80493592382973470706,200593,200618,200591,200618,191560600324,18102647719402055027,2418591645414239693
2022-08-15 00:35:00,102331574260,-52548473356211751251,200574,200593,200574,200593,111840984711,4887310595703016058,2395361432046358382
2022-08-15 00:36:00,15001712262,-7656706829426932325,200571,200571,200558,200572,91067401068,39029883707957291293,2395361432046358382
2022-08-15 00:37:00,-14421511686,7417452944491667356,200574,200571,200571,200577,23335179362,19391799247996310779,2395361432046358382
2022-08-15 00:38:00,4860727410,-2490983846874723093,200573,200573,200572,200573,10195165406,2739227349910747848,2398076833416359380
2022-08-15 00:39:00,-41669709279,21406875261393884522,200580,200573,200573,200580,48000000,21431519206934734899,2403999246449308750
2022-08-15 00:40:00,14954417179,-7676650546512046791,200580,200579,200578,200579,15136088145,93339490742909026,2403999246449308750
2022-08-15 00:41:00,52007128325,-26679442146196607186,200568,200578,200568,200578,54297235842,1176646250000000000,2398685341265641196
2022-08-15 00:42:00,-468531549,240489244728655278,200568,200568,200568,200568,759016,240878446030113662,2398685341265641196
2022-08-15 00:43:00,14728584919,-7550153834765190632,200565,200568,200565,200568,17049572149,1191131649194520183,2398739751935982410
2022-08-15 00:44:00,27285415386,-13983046123637167919,200560,200564,200560,200564,28534004086,640367047473957576,2398739751935982410
2022-08-15 00:45:00,19679584410,-10079848347012618419,200556,200559,200556,200559,22442655354,1416611794041177999,2416360662500972670
2022-08-15 00:46:00,3016743412,-1533565658459254481,200556,200557,200556,200560,25439024784,11497766846892522095,2416360662500972670
2022-08-15 00:47:00,7612171149,-3895511183536880318,200554,200556,200553,200556,13000000000,2761628490231724946,2416360662500972670
2022-08-15 00:48:00,-27300293412,13997355506039949784,200554,200554,200554,200559,32477500,14013994901930284640,2416360662500972670
2022-08-15 00:49:00,-264936942,135872897404787371,200559,200559,200559,200559,0,135872897404787371,2416419842975102662
2022-08-15 00:50:00,-26781036,13734690456664136,200559,200559,200559,200559,0,13734690456664136,2416419842975102662
2022-08-15 00:51:00,-378905422,194452299857151647,200560,200559,200559,200560,252372306,323752983191521903,2399946680995918995
2022-08-15 00:52:00,0,0,200560,200560,200560,200560,0,0,2399946680995918995
2022-08-15 00:53:00,-537705759,275766563990872162,200560,200560,200560,200560,0,275766563990872162,2399946680995918995
2022-08-15 00:54:00,493740038,-252688984922670500,200560,200559,200559,200560,1032753265,276434637959853645,2399946680995918995
2022-08-15 00:55:00,39490973553,-20221502110378043206,200552,200561,200552,200561,47167823201,3937365441834808880,2416419842975102662
2022-08-15 00:56:00,25025968896,-12805124058055063327,200547,200551,200547,200552,33364773781,4272751472420461994,2410377612314157824
2022-08-15 00:57:00,46719183350,-23887196170008114917,200538,200545,200538,200546,65585456024,9659244895173395703,2360602512485480190
2022-08-15 00:58:00,30338651115,-15499890935605087215,200533,200539,200532,200539,44019481270,6998061847568414306,2360611262320662483
2022-08-15 00:59:00,40795616903,-20830979442765475741,200525,200533,200525,200533,53610517585,6550092700891400240,2361147872332093967
2022-08-15 01:00:00,-12952244640,6620584854973938411,200528,200525,200525,200528,0,6620584854973938411,2376566357348702206
2022-08-15 01:01:00,-30446393869,15569771323471335192,200533,200530,200530,200534,1100000000,16131878769365740068,2375686189463250150
2022-08-15 01:02:00,-27789008095,14218317834190186093,200539,200533,200533,200539,242000000,14341979893560395206,2375686189463250150
2022-08-15 01:03:00,31834703088,-16271171699531424557,200533,200539,200533,200539,32003810460,86546500956038429,2375686189463250150
2022-08-15 01:04:00,-43135420262,22071684008223001791,200541,200533,200533,200541,0,22071684008223001791,2425741629898856132
2022-08-15 01:05:00,13672761490,-6991090034112158649,200538,200539,200538,200539,13672761490,0,2375686189463250150
2022-08-15 01:06:00,-34585745151,17707795722119351564,200538,200538,200538,200545,4731244703,20127588924508685471,2375686189463250150
2022-08-15 01:07:00,-1605272544,823681030771082690,200545,200546,200545,200546,3166430825,2443657380909823664,2425901825168158698
2022-08-15 01:08:00,2661208893,-1361428910666395086,200544,200545,200544,200545,2661208893,0,2425907161418533751
2022-08-15 01:09:00,29272926336,-14971067552475200281,200539,200544,200539,200544,29279437543,3332753709080319,2375851720982927769
2022-08-15 01:10:00,12340931069,-6308374711923787590,200537,200539,200536,200539,13683459330,686940025496891620,2375851720982927769
2022-08-15 01:11:00,561567101,-286831194555531205,200537,200537,200537,200537,999150680,223904630531352570,2375851720982927769
2022-08-15 01:12:00,-6233756701,3189857145376232253,200538,200538,200538,200538,0,3189857145376232253,2375100641380966270
2022-08-15 01:13:00,-125680043347,64396592264620233116,200561,200539,200539,200561,11132935671,70100007638067197650,2407577474640102701
2022-08-15 01:14:00,-16340101330,8383072607689210646,200564,200561,200561,200564,511319346,8645130913528685818,2407577474640102701
2022-08-15 01:15:00,-42692073010,21915160139305656016,200564,200564,200564,200573,2096344552,22990594808846044000,2407577474640102701
2022-08-15 01:16:00,10153099658,-5197049764616822909,200564,200571,200570,200574,31539076974,10981813244086436318,2407577474640102701
2022-08-15 01:17:00,41733021152,-21396348282215619033,200563,200570,200563,200570,42022641354,148578000000000000,2407577621421661262
2022-08-15 01:18:00,84896932684,-43474910055693639108,200547,200562,200547,200562,85054613577,80813944837255072,2425156228598130813
2022-08-15 01:19:00,82540555631,-42197095051505684451,200531,200547,200529,200547,92435197525,5059907147347961160,2375100788162524831
2022-08-15 01:20:00,-1242321889,635367264910724983,200531,200531,200531,200531,67296262,669748800755596960,2375102327020557991
2022-08-15 01:21:00,-1543000849,789123286748723795,200532,200531,200531,200532,0,789123286748723795,2375102327020557991
2022-08-15 01:22:00,-18115097780,9266178281983860574,200535,200532,200532,200535,0,9266178281983860574,2375102327020557991
2022-08-15 01:23:00,-16402682705,8393006862388785513,200538,200535,200535,200538,0,8393006862388785513,2375102327020557991
2022-08-15 01:24:00,-7691991986,3936779929651208388,200540,200539,200539,200540,0,3936779929651208388,2425486139881761094
2022-08-15 01:25:00,-1572860398,805065281528013349,200540,200540,200540,200540,2281918,806232124171144438,2425486139881761094
2022-08-15 01:26:00,-34059289993,17438945113667737070,200546,200542,200541,200546,0,17438945113667737070,2425486139881761094
2022-08-15 01:27:00,-200641992,102765000000000000,200546,200546,200546,200546,0,102765000000000000,2425486139881761094
2022-08-15 01:28:00,0,0,200546,200546,200546,200546,0,0,2425486139881761094
2022-08-15 01:29:00,21882168,-11196442258682132,200546,200546,200546,200546,21882168,0,2425497237974006214
2022-08-15 01:30:00,25448533466,-13018152425660942220,200542,200546,200542,200546,25448533466,0,2425497237974006214
2022-08-15 01:31:00,200362232703,-102270683836560193125,200507,200539,200507,200539,225748441784,12960658421639969170,2378112406878127510
2022-08-15 01:32:00,-769247863,444665848116425531,200506,200503,200490,200507,102457139493,52614434705143537056,2378112406878127510
2022-08-15 01:33:00,-12031611711,6138702957912010039,200509,200507,200507,200509,0,6138702957912010039,2378112406878127510
2022-08-15 01:34:00,0,0,200509,200509,200509,200509,0,0,2378112406878127510
2022-08-15 01:35:00,50367067611,-25662974583096646867,200500,200509,200500,200509,50381781661,7501410561263776,2378113584790716576
2022-08-15 01:36:00,83671397454,-42564394613877615408,200483,200496,200482,200496,109427593386,13111748834526174563,2315830399043662919
