,glp,btc.b_price,weth_price,wbtc_price,wavax_price,mim_price,usdc_price,usdc.e_price,btc.b_size,btc.b_average,weth_size,weth_average,wbtc_size,wbtc_average,wavax_size,wavax_average,mim_pool,mim_usdg,btc.b_guaranteed,btc.b_pool,btc.b_reserved,btc.b_usdg,weth_guaranteed,weth_pool,weth_reserved,weth_usdg,wbtc_guaranteed,wbtc_pool,wbtc_reserved,wbtc_usdg,usdc.e_pool,usdc.e_reserved,usdc.e_usdg,wavax_guaranteed,wavax_pool,wavax_reserved,wavax_usdg,usdc_pool,usdc_reserved,usdc_usdg,mim_guaranteed,usdc.e_guaranteed,usdc_guaranteed,mim_reserved,interval,aum,glp_price
2024-10-01 00:00:00,24458809467076711628010589,63316.398,2601.77,63316.398,27.705,1.0,1.0,1.0,365568559358744835475000000000000,51608140649214783635605616518907744,2620680884643992897053976776078343,2719556636729929050260072338662909,340614870323908768000000000000000,63650697225365533789792577353062816,10326715844193174900115350303785600,28164714735646632883184755650914,15380917242628940805350,9999692605263159566173,10082480513014870415126153959160000000,30332928722.0,30332917760.0,10082490698126213563900355,116431686209909150947398101758698673,1335115794199029416312,62399124751860466450,3483843110263678917774806,128594356114897776658560582012934149,1504516100.0,357484124.0,881027222026559090851341,53627279373.0,1677614869.0,50690695770575923061617,522973775317272711913181011315650010,69160404714008585106462,25121880804931000813036,1712389706935633200851341,6879570393929.0,11975965287.0,6854146646727583638057720,0,0,0,0,1551692999892260.0,23024236678686370868901689118393630720,0.9413473991724177
2024-10-01 00:01:00,24458809467076711628010589,63481.379,2607.169,63481.379,27.76,1.0,1.0,1.0,365568559358744835475000000000000,51608140649214783635605616518907744,2620680884643992897053976776078343,2719556636729929050260072338662909,340614870323908768000000000000000,63650697225365533789792577353062816,10326715844193174900115350303785600,28164714735646632883184755650914,15380917242628940805350,9999692605263159566173,10082480513014870415126153959160000000,30332928722.0,30332917760.0,10082490698126213563900355,116431686209909150947398101758698673,1335115794199029416312,62399124751860466450,3483843110263678917774806,128594356114897776658560582012934149,1504516100.0,357484124.0,881027222026559090851341,53627279373.0,1677614869.0,50690695770575923061617,522973775317272711913181011315650010,69160404714008585106462,25121880804931000813036,1712389706935633200851341,6879570393929.0,11975965287.0,6854146646727583638057720,0,0,0,0,1551692999892260.0,23033773433158575360498763980223807488,0.9417373099930993
2024-10-01 00:02:00,24458809467076711628010589,63363.49,2601.97,63363.49,27.695,1.0,1.0,1.0,365568559358744835475000000000000,51608140649214783635605616518907744,2620680884643992897053976776078343,2719556636729929050260072338662909,340614870323908768000000000000000,63650697225365533789792577353062816,46112135001281297505467852590116800,27798825077758379861946878305765,15380917242628940805350,9999692605263159566173,10082480513014870415126153959160000000,30332928722.0,30332917760.0,10082490698126213563900355,116431686209909150947398101758698673,1335115794199029416312,62399124751860466450,3483843110263678917774806,128594356114897776658560582012934149,1504516100.0,357484124.0,881027222026559090851341,53627279373.0,1677614869.0,50690695770575923061617,522973775317272711913181011315650010,69160404714008585106462,25121880804931000813036,1712389706935633200851341,6879570393929.0,47761384444.0,6854146646727583638057720,0,0,0,0,1551692999892260.0,23023878345996890638003934071135141888,0.9413327487173347
2024-10-01 00:03:00,24458809467076711628010589,63308.31,2601.35,63308.31,27.66,1.0,1.0,1.0,365568559358744835475000000000000,51608140649214783635605616518907744,2620680884643992897053976776078343,2719556636729929050260072338662909,340614870323908768000000000000000,63650697225365533789792577353062816,73758248516561297505467852590116800,27746627608555945229627976375655,15380917242628940805350,9999692605263159566173,10082480513014870415126153959160000000,30332928722.0,30332917760.0,10082490698126213563900355,116431686209909150947398101758698673,1335115794199029416312,62399124751860466450,3483843110263678917774806,128594356114897776658560582012934149,1504516100.0,357484124.0,881027222026559090851341,53627279373.0,1677614869.0,50690695770575923061617,522973775317272711913181011315650010,69159576320668585106462,25121880804931000813036,1712366764952643200851341,6879594393929.0,39622078802.0,6854170646727583638057720,0,0,0,0,1551692999892260.0,23022588753191381909531416860920119296,0.9412800236324428
2024-10-01 00:04:00,24458809467076711628010589,63308.31,2601.35,63308.31,27.66,1.0,1.0,1.0,365568559358744835475000000000000,51608140649214783635605616518907744,2620680884643992897053976776078343,2719556636729929050260072338662909,340614870323908768000000000000000,63650697225365533789792577353062816,73758248516561297505467852590116800,27746627608555945229627976375655,15380917242628940805350,9999692605263159566173,10082480513014870415126153959160000000,30332928722.0,30332917760.0,10082490698126213563900355,116431686209909150947398101758698673,1335115794199029416312,62399124751860466450,3483843110263678917774806,128594356114897776658560582012934149,1504516100.0,357484124.0,881027222026559090851341,53627279373.0,1677614869.0,50690695770575923061617,522973775317272711913181011315650010,69159576320668585106462,25121880804931000813036,1712366764952643200851341,6879594393929.0,39622078802.0,6854170646727583638057720,0,0,0,0,1551692999892260.0,23022588753191381909531416860920119296,0.9412800236324428
2024-10-01 00:05:00,24458809467076711628010589,63357.001,2604.269,63357.001,27.72,1.0,1.0,1.0,365568559358744835475000000000000,51608140649214783635605616518907744,2620680884643992897053976776078343,2719556636729929050260072338662909,340614870323908768000000000000000,63650697225365533789792577353062816,73758248516561297505467852590116800,27746627608555945229627976375655,15380917242628940805350,9999692605263159566173,10082480513014870415126153959160000000,30332928722.0,30332917760.0,10082490698126213563900355,116431686209909150947398101758698673,1335115794199029416312,62399124751860466450,3483843110263678917774806,128594356114897776658560582012934149,1504516100.0,357484124.0,881027222026559090851341,53627279373.0,1677614869.0,50690695770575923061617,522973775317272711913181011315650010,69159576320668585106462,25121880804931000813036,1712366764952643200851341,6879594393929.0,39622078802.0,6854170646727583638057720,0,0,0,0,1551692999892260.0,23026972454475494088555163893662482432,0.9414592515417167
2024-10-01 00:06:00,24458809467076711628010589,63357.001,2604.269,63357.001,27.72,1.0,1.0,1.0,365568559358744835475000000000000,51608140649214783635605616518907744,2620680884643992897053976776078343,2719556636729929050260072338662909,340614870323908768000000000000000,63650697225365533789792577353062816,73758248516561297505467852590116800,27746627608555945229627976375655,15380917242628940805350,9999692605263159566173,10082480513014870415126153959160000000,30332928722.0,30332917760.0,10082490698126213563900355,116431686209909150947398101758698673,1335115794199029416312,62399124751860466450,3483843110263678917774806,128594356114897776658560582012934149,1504516100.0,357484124.0,881027222026559090851341,53627279373.0,1677614869.0,50690695770575923061617,522973775317272711913181011315650010,69159576320668585106462,25121880804931000813036,1712366764952643200851341,6879594393929.0,39622078802.0,6854170646727583638057720,0,0,0,0,1551692999892260.0,23026972454475494088555163893662482432,0.9414592515417167
2024-10-01 00:07:00,24458809467076711628010589,63338.904,2605.619,63338.904,27.735,1.0,1.0,1.0,365568559358744835475000000000000,51608140649214783635605616518907744,2620680884643992897053976776078343,2719556636729929050260072338662909,340614870323908768000000000000000,63650697225365533789792577353062816,73758248516561297505467852590116800,27746627608555945229627976375655,15380917242628940805350,9999692605263159566173,10082480513014870415126153959160000000,30332928722.0,30332917760.0,10082490698126213563900355,116431686209909150947398101758698673,1335115794199029416312,62399124751860466450,3483843110263678917774806,128594356114897776658560582012934149,1504516100.0,357484124.0,881027222026559090851341,53627279373.0,1677614869.0,50690695770575923061617,522973775317272711913181011315650010,69159576320668585106462,25121880804931000813036,1712366764952643200851341,6879594393929.0,39622078802.0,6854170646727583638057720,0,0,0,0,1551692999892260.0,23028027960367100905230591011921592320,0.9415024059680606
2024-10-01 00:08:00,24458809467076711628010589,63346.903,2606.149,63346.903,27.81,1.0,1.0,1.0,365568559358744835475000000000000,51608140649214783635605616518907744,2620680884643992897053976776078343,2719556636729929050260072338662909,340614870323908768000000000000000,63650697225365533789792577353062816,73758248516561297505467852590116800,27746627608555945229627976375655,15380917242628940805350,9999692605263159566173,10082480513014870415126153959160000000,30332928722.0,30332917760.0,10082490698126213563900355,116431686209909150947398101758698673,1335115794199029416312,62399124751860466450,3483843110263678917774806,128594356114897776658560582012934149,1504516100.0,357484124.0,881027222026559090851341,53627279373.0,1677614869.0,50690695770575923061617,522973775317272711913181011315650010,69159576320668585106462,25121880804931000813036,1712366764952643200851341,6879594393929.0,39622078802.0,6854170646727583638057720,0,0,0,0,1551692999892260.0,23029393503593150578472643917728710656,0.9415582362907868
2024-10-01 00:09:00,24458809467076711628010589,63346.903,2606.149,63346.903,27.81,1.0,1.0,1.0,365568559358744835475000000000000,51608140649214783635605616518907744,2620680884643992897053976776078343,2719556636729929050260072338662909,340614870323908768000000000000000,63650697225365533789792577353062816,73758248516561297505467852590116800,27746627608555945229627976375655,15380917242628940805350,9999692605263159566173,10082480513014870415126153959160000000,30332928722.0,30332917760.0,10082490698126213563900355,116431686209909150947398101758698673,1335115794199029416312,62399124751860466450,3483843110263678917774806,128594356114897776658560582012934149,1504516100.0,357484124.0,881027222026559090851341,53627279373.0,1677614869.0,50690695770575923061617,522973775317272711913181011315650010,69159576320668585106462,25121880804931000813036,1712366764952643200851341,6879594393929.0,39622078802.0,6854170646727583638057720,0,0,0,0,1551692999892260.0,23029393503593150578472643917728710656,0.9415582362907868
2024-10-01 00:10:00,24458809467076711628010589,63346.903,2606.149,63346.903,27.81,1.0,1.0,1.0,365568559358744835475000000000000,51608140649214783635605616518907744,2620680884643992897053976776078343,2719556636729929050260072338662909,340614870323908768000000000000000,63650697225365533789792577353062816,73758248516561297505467852590116800,27746627608555945229627976375655,15380917242628940805350,9999692605263159566173,10082480513014870415126153959160000000,30332928722.0,30332917760.0,10082490698126213563900355,116431686209909150947398101758698673,1335115794199029416312,62399124751860466450,3483843110263678917774806,128594356114897776658560582012934149,1504516100.0,357484124.0,881027222026559090851341,53627279373.0,1677614869.0,50690695770575923061617,522973775317272711913181011315650010,69159576320668585106462,25121880804931000813036,1712366764952643200851341,6879594393929.0,39622078802.0,6854170646727583638057720,0,0,0,0,1551692999892260.0,23029393503593150578472643917728710656,0.9415582362907868
2024-10-01 00:11:00,24458809467076711628010589,63248.42,2603.629,63248.42,27.787,1.0,1.0,1.0,365568559358744835475000000000000,51608140649214783635605616518907744,2620680884643992897053976776078343,2719556636729929050260072338662909,340614870323908768000000000000000,63650697225365533789792577353062816,73758248516561297505467852590116800,27746627608555945229627976375655,15380917242628940805350,9999692605263159566173,10082480513014870415126153959160000000,30332928722.0,30332917760.0,10082490698126213563900355,116431686209909150947398101758698673,1335115794199029416312,62399124751860466450,3483843110263678917774806,128594356114897776658560582012934149,1504516100.0,357484124.0,881027222026559090851341,53627279373.0,1677614869.0,50690695770575923061617,522973775317272711913181011315650010,69159576320668585106462,25121880804931000813036,1712366764952643200851341,6879594393929.0,39622078802.0,6854170646727583638057720,0,0,0,0,1551692999892260.0,23024447141961356651854721860103045120,0.9413560039769675
