block_timestamp,liquidity_rate,stable_borrow_rate,variable_borrow_rate,liquidity_index,variable_borrow_index
2023-08-17 00:00:00,0.041379706425350425701957444,0.065914393206556424875520954,0.050914393206556424875520954,1.024361245669136180391572773,1.038085903545257543401488732
2023-08-17 00:01:00,0.041372912166283816864920941,0.065905644101390298990265814,0.050905644101390298990265814,1.024361299433427934951593493,1.038085970584216877806609655
2023-08-17 00:02:00,0.04137296379318833689460384,0.065905710582488692663034714,0.050905710582488692663034714,1.02436140437872968493606085,1.038086101447108428456089554
2023-08-17 00:03:00,0.04137296379318833689460384,0.065905710582488692663034714,0.050905710582488692663034714,1.02436140437872968493606085,1.038086101447108428456089554
2023-08-17 00:04:00,0.041373042648327329174209656,0.065905812126110872337799986,0.050905812126110872337799986,1.024361565234927893493034312,1.038086302296154534092430514
2023-08-17 00:05:00,0.041373042648327329174209656,0.065905812126110872337799986,0.050905812126110872337799986,1.024361565234927893493034312,1.038086302296154534092430514
2023-08-17 00:06:00,0.041366295692842618457766629,0.06589712390754065479428794,0.05089712390754065479428794,1.02436172381409638794689966,1.038086500027841791115376759
2023-08-17 00:07:00,0.041306903670776515732164878,0.065820642166494523709572952,0.050820642166494523709572952,1.024361804434434979506822258,1.038086600552232457452365068
2023-08-17 00:08:00,0.041337675646735736728242056,0.065860268871755957869610954,0.050860268871755957869610954,1.024361876888569191486304425,1.03808669088824259008263965
2023-08-17 00:09:00,0.041337675646735736728242056,0.065860268871755957869610954,0.050860268871755957869610954,1.024361876888569191486304425,1.03808669088824259008263965
2023-08-17 00:10:00,0.043936487698902763164404249,0.069204726522043644090519014,0.054204726522043644090519014,1.024362029942280184097284493,1.038086881721559145525764615
2023-08-17 00:11:00,0.043936487698902763164404249,0.069204726522043644090519014,0.054204726522043644090519014,1.024362029942280184097284493,1.038086881721559145525764615
2023-08-17 00:12:00,0.043941990837307889779079134,0.069211804239165431001018362,0.054211804239165431001018362,1.024362219754357612909233263,1.038087119031506965402048696
2023-08-17 00:13:00,0.043941990837307889779079134,0.069211804239165431001018362,0.054211804239165431001018362,1.024362219754357612909233263,1.038087119031506965402048696
2023-08-17 00:14:00,0.043941990837307889779079134,0.069211804239165431001018362,0.054211804239165431001018362,1.024362219754357612909233263,1.038087119031506965402048696
2023-08-17 00:15:00,0.043918869671258015074592025,0.069182067424601903114116232,0.054182067424601903114116232,1.024362468110900081607114704,1.038087429537526617064474353
2023-08-17 00:16:00,0.043839591047922314265805364,0.069080102401208286643723964,0.054080102401208286643723964,1.02436252517437259947978748,1.038087500879136186108008882
2023-08-17 00:17:00,0.043769746724101315446851009,0.068990270731673732364473276,0.053990270731673732364473276,1.024362613463100392624584548,1.038087611250541554155741373
2023-08-17 00:18:00,0.043769746724101315446851009,0.068990270731673732364473276,0.053990270731673732364473276,1.024362613463100392624584548,1.038087611250541554155741373
2023-08-17 00:19:00,0.043174655331060888986724852,0.068224740674085017577548624,0.053224740674085017577548624,1.024362784072279026256245358,1.03808782451780519119979162
2023-08-17 00:20:00,0.043187074207906361516140143,0.068240718513698441133122324,0.053240718513698441133122324,1.024362899074930035671142999,1.038087968190299489057160714
2023-08-17 00:21:00,0.043187074207906361516140143,0.068240718513698441133122324,0.053240718513698441133122324,1.024362899074930035671142999,1.038087968190299489057160714
2023-08-17 00:22:00,0.043187074207906361516140143,0.068240718513698441133122324,0.053240718513698441133122324,1.024362899074930035671142999,1.038087968190299489057160714
2023-08-17 00:23:00,0.043187074207906361516140143,0.068240718513698441133122324,0.053240718513698441133122324,1.024362899074930035671142999,1.038087968190299489057160714
2023-08-17 00:24:00,0.04318593759332063881996454,0.068239256166328379153964224,0.053239256166328379153964224,1.024363246973543095901494251,1.038088402823832147609042431
2023-08-17 00:25:00,0.04318593759332063881996454,0.068239256166328379153964224,0.053239256166328379153964224,1.024363246973543095901494251,1.038088402823832147609042431
2023-08-17 00:26:00,0.04318593759332063881996454,0.068239256166328379153964224,0.053239256166328379153964224,1.024363246973543095901494251,1.038088402823832147609042431
2023-08-17 00:27:00,0.043187337037344205648365127,0.068241056662369154361473318,0.053241056662369154361473318,1.02436343494613608158635189,1.038088637659769526501873558
2023-08-17 00:28:00,0.043187337037344205648365127,0.068241056662369154361473318,0.053241056662369154361473318,1.02436343494613608158635189,1.038088637659769526501873558
2023-08-17 00:29:00,0.043187337037344205648365127,0.068241056662369154361473318,0.053241056662369154361473318,1.02436343494613608158635189,1.038088637659769526501873558
2023-08-17 00:30:00,0.043187337037344205648365127,0.068241056662369154361473318,0.053241056662369154361473318,1.02436343494613608158635189,1.038088637659769526501873558
2023-08-17 00:31:00,0.043187337037344205648365127,0.068241056662369154361473318,0.053241056662369154361473318,1.02436343494613608158635189,1.038088637659769526501873558
2023-08-17 00:32:00,0.043187337037344205648365127,0.068241056662369154361473318,0.053241056662369154361473318,1.02436343494613608158635189,1.038088637659769526501873558
2023-08-17 00:33:00,0.043247217791857508768231799,0.068318096939248003902834482,0.053318096939248003902834482,1.024363962408809583937580986,1.038089296624968221800846829
2023-08-17 00:34:00,0.043247217791857508768231799,0.068318096939248003902834482,0.053318096939248003902834482,1.024363962408809583937580986,1.038089296624968221800846829
2023-08-17 00:35:00,0.042982262282029544591845222,0.06797720476480581281762783,0.05297720476480581281762783,1.024364119743279225219916314,1.038089493196584963900951994
2023-08-17 00:36:00,0.042256024889751924122871883,0.067042589532543090757829912,0.052042589532543090757829912,1.024364242605876875693131036,1.038089646658259318206406547
