timestamp,marketTokensSupply,poolValue,longAmount,shortAmount,pendingPnl,realizedPnl,realizedProfit,virtualSwapInventoryLong,virtualSwapInventoryShort,impactPoolAmount,longPrice,shortPrice,indexPrice,openInterestLong,openInterestShort,openInterestInTokensLong,openInterestInTokensShort
2025-01-08 04:54:00,36627747.041503645,63846088.04658188,9245.08356780847,32962322.497401,-2293300.3052461296,0.0,0.15813927748333456,10504.795655445594,37313584.100445,743.0777487856961,3346.86301551991,0.9999151778229484,3346.86301551991,51307779.38458568,50973647.511425346,14609.117099204746,15194.49164934344
2025-01-08 04:55:00,36627747.041503645,63838828.32012515,9245.233540058469,32961820.714724,-2292818.455051586,0.0,4.849085273413312,10504.945627695593,37313082.317768,743.0777487856961,3346.039867,0.9999218662954442,3346.039867,51307779.38458568,50973647.511425346,14609.117099204746,15194.49164934344
2025-01-08 04:56:00,36627747.041503645,63861624.292480424,9246.083382808469,32958981.525608,-2294301.148616709,0.0,0.10547927210952394,10505.795470445593,37310243.128652,743.0843186183185,3348.54832093687,0.9999219061959898,3348.54832093687,51318038.35874741,50973647.511425346,14612.176534132828,15194.49164934344
2025-01-08 04:57:00,36627747.041503645,63861334.46167096,9246.18336430847,32958646.813469,-2294301.148616709,0.0,0.0,10505.895451945593,37309908.416513,743.0843186183185,3348.54832093687,0.9999131091815063,3348.54832093687,51318038.35874741,50973647.511425346,14612.176534132828,15194.49164934344
2025-01-08 04:58:00,36627747.041503645,63846604.78210615,9246.18336430847,32958646.813469,-2293342.51693742,121.49555047332005,-96.94834220166095,10505.895451945593,37309908.416513,743.0843186183185,3346.902078800529,0.9999199999999999,3346.902078800529,51318038.35874741,50973647.511425346,14612.176534132828,15194.49164934344
2025-01-08 04:59:00,36627747.041503645,63846579.133704,9246.33333768824,32958048.065822,-2293454.828857325,0.0,0.49693291477988205,10506.045425325365,37309309.668866,743.0907138463471,3346.893064549674,0.9999217248525327,3346.893064549674,51318048.35874741,50963690.335637264,14612.179516523218,15191.551718846056
2025-01-08 05:00:00,36627747.041503645,63850087.78872091,9246.389327328241,32957861.133199,-2293677.5501435846,0.0,0.0746844197553013,10506.101450449622,37319520.285635,743.0905549216258,3347.2783753295657,0.9999219832369571,3347.2783753295657,51318048.35874741,50965621.0792353,14612.179516523218,15192.128374359203
2025-01-08 05:01:00,36627747.041503645,63813429.539842434,9246.45931437824,32957626.759655,-2291295.7083782777,0.0,0.0,10506.326101837387,37318768.769974,743.0905549216258,3343.171389458105,0.9999416114172184,3343.171389458105,51318048.35874741,50965621.0792353,14612.179516523218,15192.128374359203
2025-01-08 05:02:00,36627747.041503645,63871945.58856735,9246.45931437824,32957626.759655,-2295013.0187466294,0.0,0.044684249408683374,10506.326101837387,37318768.769974,743.0905549216258,3349.581110450096,0.9999505476527847,3349.581110450096,51318048.35874741,50965621.0792353,14612.179516523218,15192.128374359203
2025-01-08 05:03:00,36627747.041503645,63902246.98204725,9246.50165654349,32957484.968811,-2296922.336801477,0.0,0.08945633683907163,10506.368444002637,37318626.97913,743.0905549216258,3352.873328425954,0.9999625918926828,3352.873328425954,51318048.35874741,50965621.0792353,14612.179516523218,15192.128374359203
