l1,net_value,tokens,tokens,uni,uni,uni,uni,uni,uni,uni,aave,aave,aave,aave,aave,aave,aave,aave,aave,aave,aave,aave,aave,price,price,price
l2,,USDC,WETH,net_value,liquidity_value,base_uncollected,quote_uncollected,base_in_position,quote_in_position,position_count,net_value,supplies_count,borrows_count,borrows_value,supplies_value,collaterals_value,health_factor,max_ltv,ltv,liquidation_threshold,supply_apy,borrow_apy,net_apy,WETH,USDC,USD
2023-08-14 00:00:00,999.99997788457088145722439559907795,0.60418975250109345602836034387553,0,837.07378813206978800119603525520242,837.07378813206978800119603525520242,0E-43,0E-43,0.20588309516689553644889255000528643,458.32240319607486851611797059220874,1,162.3220,1,1,378.7514,541.0734,541.0734,1.2143,0.8250,0.70000000000000000000000000000000001,0.8500,0.0498,0.0209,0.11723334520274516085311910893162972,1839.6429518847417858948052938182648,1839.6429518847417858948052938182648,1839.6429518847417858948052938182648
2023-08-14 00:01:00,1000.0002346629808607020211852709086,0.60418975250109345602836034387553,0,836.99824491047976724599282492703308,836.99800583856453758141870192513556,1.2998159874363006625005190710187581E-7,0E-43,0.20611893560909449663981981248612312,457.8885843706967083920705175752548,1,162.3978,1,1,378.6756,541.0734,541.0734,1.2145,0.8250,0.69986002099720034995800489944006282,0.8500,0.0498,0.0209,0.11718838112338960256850770145900991,1839.2750784762957419834511837470031,1839.2750784762957419834511837470031,1839.2750784762957419834511837470031
2023-08-14 00:02:00,1000.0002374561908953194630118998298,0.60418975250109345602836034387553,0,836.99824770368980186343465155595428,836.99800583856453758141870192513556,1.3150024599074625677848823579682463E-7,0E-43,0.20611893560909449663981981248612312,457.8885843706967083920705175752548,1,162.3978,1,1,378.6756,541.0734,541.0734,1.2145,0.8250,0.69986002099720034995800489944006282,0.8500,0.0498,0.0209,0.11718838112338960256850770145900991,1839.2750784762957419834511837470031,1839.2750784762957419834511837470031,1839.2750784762957419834511837470031
2023-08-14 00:03:00,1000.0002374561908953194630118998298,0.60418975250109345602836034387553,0,836.99824770368980186343465155595428,836.99800583856453758141870192513556,1.3150024599074625677848823579682463E-7,0E-43,0.20611893560909449663981981248612312,457.8885843706967083920705175752548,1,162.3978,1,1,378.6756,541.0734,541.0734,1.2145,0.8250,0.69986002099720034995800489944006282,0.8500,0.0498,0.0209,0.11718838112338960256850770145900991,1839.2750784762957419834511837470031,1839.2750784762957419834511837470031,1839.2750784762957419834511837470031
2023-08-14 00:04:00,1000.0002377968949656985121444984820,0.60418975250109345602836034387553,0,836.99824804439387224248378415460642,836.99800583856453758141870192513556,1.3168548422637836104261971209930589E-7,0E-43,0.20611893560909449663981981248612312,457.8885843706967083920705175752548,1,162.3978,1,1,378.6756,541.0734,541.0734,1.2145,0.8250,0.69986002099720034995800489944006282,0.8500,0.0498,0.0209,0.11718838112338960256850770145900991,1839.2750784762957419834511837470031,1839.2750784762957419834511837470031,1839.2750784762957419834511837470031
2023-08-14 00:05:00,1000.0005965528226237757607291544272,0.60418975250109345602836034387553,0,836.99840680032153031973236881055163,836.99800583856453758141870192513556,1.3168548422637836104261971209930589E-7,0.00015875592765807724858465594520956538,0.20611893560909449663981981248612312,457.8885843706967083920705175752548,1,162.3980,1,1,378.6757,541.0737,541.0737,1.2145,0.8250,0.69985981483162297858019026383077336,0.8500,0.0497,0.0209,0.11685513836377295286887769553812239,1839.2750784762957419834511837470031,1839.2750784762957419834511837470031,1839.2750784762957419834511837470031
2023-08-14 00:06:00,1000.0009288832505467385943752820279,0.60418975250109345602836034387553,0,836.99873913074945328256601493815236,836.99800583856453758141870192513556,1.3207987671313012693415219131598823E-7,0.00049036095930901926659188727491719204,0.20611893560909449663981981248612312,457.8885843706967083920705175752548,1,162.3980,1,1,378.6757,541.0737,541.0737,1.2145,0.8250,0.69985975670546562047577401002753330,0.8500,0.0497,0.0209,0.11685513836377295286887769553812239,1839.2750784762957419834511837470031,1839.2750784762957419834511837470031,1839.2750784762957419834511837470031
2023-08-14 00:07:00,1000.0009251294399761244018227074718,0.60418975250109345602836034387553,0,837.15023537693888266837346236359629,837.14949881035011026652094363581026,1.3380661474036751308237550240824693E-7,0.00049036095930901926659188727491719204,0.20564727830638262754885529125032647,458.7562654033355664561778283544621,1,162.2465,1,1,378.8272,541.0737,541.0737,1.2140,0.8250,0.70013974260253271806469908120644962,0.8500,0.0497,0.0209,0.11694473785258849959783415975074963,1840.0108988715482530994021138250798,1840.0108988715482530994021138250798,1840.0108988715482530994021138250798
2023-08-14 00:08:00,1000.0009253163966353988537886538247,0.60418975250109345602836034387553,0,837.15023556389554194282542830994914,837.14949881035011026652094363581026,1.3390822101856353341468588172131964E-7,0.00049036095930901926659188727491719204,0.20564727830638262754885529125032647,458.7562654033355664561778283544621,1,162.2465,1,1,378.8272,541.0737,541.0737,1.2140,0.8250,0.70013974260253271806469908120644962,0.8500,0.0497,0.0209,0.11694473785258849959783415975074963,1840.0108988715482530994021138250798,1840.0108988715482530994021138250798,1840.0108988715482530994021138250798
2023-08-14 00:09:00,1000.0011253163966353988537886538247,0.60418975250109345602836034387553,0,837.15023556389554194282542830994914,837.14949881035011026652094363581026,1.3390822101856353341468588172131964E-7,0.00049036095930901926659188727491719204,0.20564727830638262754885529125032647,458.7562654033355664561778283544621,1,162.2467,1,1,378.8272,541.0739,541.0739,1.2140,0.8250,0.70013956384434142444751554377084402,0.8500,0.0499,0.0209,0.11761163173118467124446907086553995,1840.0108988715482530994021138250798,1840.0108988715482530994021138250798,1840.0108988715482530994021138250798
